Location,Price,Rooms,Bathrooms,Car Parks,Furnishing,SizeType,SizeValue,Property Type Supergroup
KLCC,2030000.0,2.0,5.0,2.0,Fully Furnished,Built-up,2356.0,Condominium
Mont Kiara,3450000.0,2.0,6.0,3.0,Fully Furnished,Built-up,3720.0,Condominium
City Centre,4080000.0,2.0,5.0,2.0,Partly Furnished,Built-up,3713.0,Condominium
Taman Tun Dr Ismail,2880000.0,2.0,3.0,4.0,Partly Furnished,Land area,4244.0,Terrace/Link House
KLCC,1799000.0,3.0,1.0,1.0,Fully Furnished,Built-up,720.0,Serviced Residence
KLCC,1820000.0,2.0,2.0,2.0,Fully Furnished,Built-up,1159.0,Condominium
KLCC,1000000.0,2.0,3.0,2.0,Partly Furnished,Built-up,1313.0,Serviced Residence
KLCC,1650000.0,2.0,5.0,2.0,Fully Furnished,Built-up,1905.0,Condominium
KLCC,2300000.0,3.0,1.0,2.0,Partly Furnished,Built-up,1023.0,Serviced Residence
Mont Kiara,2400000.0,2.0,5.0,3.0,Partly Furnished,Land area,2702.0,Condominium
KLCC,2055000.0,1.0,1.0,1.0,Partly Furnished,Built-up,797.0,Serviced Residence
KLCC,1714000.0,3.0,1.0,1.0,Partly Furnished,Built-up,700.0,Serviced Residence
Bukit Jalil,620000.0,3.0,2.0,0.0,Partly Furnished,Built-up,1232.0,Condominium
Bukit Jalil,1720000.0,4.0,7.0,0.0,Unfurnished,Land area,3033.0,Terrace/Link House
KLCC,2300000.0,2.0,4.0,3.0,Partly Furnished,Built-up,3282.0,Serviced Residence
Bukit Jalil,920000.0,2.0,3.0,2.0,Partly Furnished,Built-up,1513.0,Condominium
KLCC,2300000.0,3.0,1.0,2.0,Partly Furnished,Built-up,1046.0,Serviced Residence
Taman Tun Dr Ismail,4995000.0,3.0,7.0,6.0,Partly Furnished,Land area,8113.0,Bungalow
Taman Tun Dr Ismail,1630000.0,3.0,3.0,2.0,Partly Furnished,Land area,0.0,Terrace/Link House
Mont Kiara,1850000.0,2.0,4.0,2.0,Partly Furnished,Built-up,1830.0,Condominium
KLCC,1783000.0,3.0,2.0,1.0,Partly Furnished,Built-up,976.0,Condominium
Dutamas,1180000.0,2.0,4.0,1.0,Partly Furnished,Built-up,1942.0,Condominium
Bukit Jalil,900000.0,2.0,3.0,2.0,Partly Furnished,Built-up,1513.0,Condominium
City Centre,1700000.0,2.0,2.0,1.0,Fully Furnished,Built-up,1442.0,Serviced Residence
KLCC,850000.0,3.0,2.0,0.0,Fully Furnished,Built-up,761.0,Serviced Residence
Damansara Heights,6800000.0,4.0,7.0,0.0,Unfurnished,Land area,7000.0,Bungalow
Mont Kiara,3100000.0,2.0,6.0,3.0,Fully Furnished,Built-up,3400.0,Condominium
Bukit Jalil,630000.0,3.0,2.0,2.0,Partly Furnished,Built-up,791.0,Serviced Residence
Kepong,2040000.0,3.0,5.0,4.0,Partly Furnished,Land area,0.0,Terrace/Link House
KLCC,1780000.0,3.0,1.0,1.0,Fully Furnished,Built-up,728.0,Serviced Residence
Desa ParkCity,2850000.0,2.0,3.0,0.0,Partly Furnished,Built-up,3211.0,Terrace/Link House
Desa ParkCity,1050000.0,2.0,2.0,2.0,Partly Furnished,Built-up,1389.0,Condominium
Mont Kiara,2600000.0,2.0,4.0,3.0,Partly Furnished,Built-up,3041.0,Condominium
Bangsar South,630000.0,1.0,1.0,1.0,Partly Furnished,Built-up,663.0,Serviced Residence
KLCC,3364000.0,2.0,2.0,2.0,Fully Furnished,Built-up,1399.0,Serviced Residence
Bukit Jalil,978000.0,2.0,3.0,2.0,Partly Furnished,Built-up,1513.0,Condominium
KLCC,3600000.0,2.0,5.0,2.0,Partly Furnished,Built-up,3897.0,Serviced Residence
KLCC,3600000.0,2.0,5.0,2.0,Partly Furnished,Built-up,3897.0,Serviced Residence
KLCC,2000000.0,3.0,1.0,1.0,Fully Furnished,Built-up,1087.0,Serviced Residence
Mont Kiara,1630000.0,2.0,4.0,2.0,Partly Furnished,Built-up,2065.0,Condominium
Taman Tun Dr Ismail,1280000.0,3.0,3.0,3.0,Partly Furnished,Land area,0.0,Terrace/Link House
KLCC,1250000.0,3.0,2.0,1.0,Partly Furnished,Built-up,736.0,Condominium
Bangsar South,630000.0,1.0,1.0,1.0,Fully Furnished,Built-up,650.0,Serviced Residence
KLCC,1350000.0,3.0,2.0,1.0,Fully Furnished,Built-up,1050.0,Serviced Residence
Bangsar South,490000.0,3.0,1.0,1.0,Fully Furnished,Built-up,500.0,Serviced Residence
Bangsar South,800000.0,3.0,2.0,1.0,Partly Furnished,Built-up,825.0,Serviced Residence
Desa ParkCity,1980000.0,2.0,4.0,0.0,Partly Furnished,Built-up,2200.0,Terrace/Link House
Dutamas,1035000.0,2.0,5.0,2.0,Unknown,Built-up,1853.0,Condominium
KLCC,1000000.0,3.0,1.0,1.0,Fully Furnished,Built-up,657.0,Condominium
Sungai Besi,448800.0,3.0,3.0,1.0,Unfurnished,Built-up,1045.0,Serviced Residence
Damansara Heights,4900000.0,3.0,6.0,0.0,Fully Furnished,Land area,3700.0,Semi-detached House
Mont Kiara,2480000.0,2.0,5.0,3.0,Partly Furnished,Built-up,3041.0,Condominium
KL Sentral,2716000.0,2.0,4.0,2.0,Partly Furnished,Built-up,2227.0,Serviced Residence
KL Sentral,1480000.0,2.0,3.0,0.0,Fully Furnished,Built-up,1544.0,Condominium
Country Heights Damansara,9500000.0,4.0,7.0,6.0,Partly Furnished,Land area,10000.0,Bungalow
KLCC,8343600.0,3.0,3.0,2.0,Unfurnished,Built-up,2454.0,Condominium
Taman Desa,500000.0,3.0,2.0,1.0,Partly Furnished,Built-up,715.0,Serviced Residence
Damansara Heights,13800000.0,3.0,7.0,3.0,Partly Furnished,Land area,7500.0,Bungalow
Desa ParkCity,3490000.0,3.0,5.0,0.0,Partly Furnished,Land area,0.0,Terrace/Link House
Desa ParkCity,2300000.0,3.0,3.0,2.0,Partly Furnished,Land area,0.0,Terrace/Link House
KLCC,3600000.0,3.0,4.0,0.0,Partly Furnished,Built-up,3897.0,Serviced Residence
Mont Kiara,2480000.0,2.0,5.0,3.0,Unfurnished,Built-up,3041.0,Condominium
KLCC,3500000.0,3.0,3.0,1.0,Fully Furnished,Built-up,1560.0,Serviced Residence
Mont Kiara,2200000.0,3.0,4.0,2.0,Unfurnished,Built-up,2243.0,Condominium
Taman Tun Dr Ismail,1380000.0,3.0,3.0,2.0,Fully Furnished,Land area,0.0,Terrace/Link House
KLCC,3600000.0,2.0,4.0,2.0,Fully Furnished,Built-up,3897.0,Serviced Residence
Desa ParkCity,2500000.0,2.0,6.0,0.0,Partly Furnished,Land area,0.0,Terrace/Link House
Bukit Jalil,1060000.0,2.0,4.0,4.0,Partly Furnished,Built-up,1772.0,Condominium
Bukit Jalil,900000.0,2.0,3.0,3.0,Partly Furnished,Built-up,1513.0,Condominium
KLCC,1850000.0,3.0,1.0,1.0,Partly Furnished,Built-up,2174.0,Condominium
Sentul,668000.0,2.0,3.0,3.0,Fully Furnished,Built-up,1345.0,Condominium
KLCC,1050000.0,2.0,3.0,2.0,Fully Furnished,Built-up,1313.0,Serviced Residence
Jalan Klang Lama (Old Klang Road),509000.0,3.0,2.0,1.0,Unfurnished,Built-up,797.0,Serviced Residence
Desa ParkCity,3170000.0,2.0,5.0,0.0,Partly Furnished,Built-up,4306.0,Terrace/Link House
Desa ParkCity,3400000.0,3.0,6.0,0.0,Unfurnished,Built-up,5448.0,Terrace/Link House
KLCC,2998000.0,2.0,3.0,2.0,Partly Furnished,Built-up,3218.0,Condominium
KLCC,2580000.0,2.0,3.0,2.0,Partly Furnished,Built-up,2809.0,Condominium
Desa ParkCity,5600000.0,4.0,9.0,0.0,Partly Furnished,Built-up,7000.0,Terrace/Link House
Desa ParkCity,1260000.0,2.0,3.0,0.0,Partly Furnished,Built-up,1485.0,Condominium
Desa ParkCity,4950000.0,4.0,7.0,0.0,Unfurnished,Land area,0.0,Terrace/Link House
Desa ParkCity,1990000.0,2.0,4.0,0.0,Partly Furnished,Built-up,2500.0,Terrace/Link House
Kepong,920000.0,3.0,3.0,0.0,Partly Furnished,Land area,0.0,Terrace/Link House
Mont Kiara,2100000.0,3.0,4.0,0.0,Fully Furnished,Built-up,2441.0,Condominium
KLCC,1100000.0,3.0,2.0,1.0,Fully Furnished,Built-up,880.0,Serviced Residence
KLCC,3600000.0,2.0,3.0,2.0,Partly Furnished,Built-up,3897.0,Serviced Residence
KLCC,2900000.0,2.0,4.0,3.0,Fully Furnished,Built-up,2809.0,Condominium
Sentul,670000.0,3.0,2.0,2.0,Partly Furnished,Built-up,1085.0,Condominium
Desa ParkCity,1370000.0,2.0,3.0,0.0,Partly Furnished,Built-up,1572.0,Condominium
Desa ParkCity,3480000.0,2.0,5.0,0.0,Partly Furnished,Land area,3450.0,Terrace/Link House
Desa ParkCity,1350000.0,3.0,2.0,2.0,Partly Furnished,Built-up,1292.0,Condominium
KLCC,2300000.0,3.0,2.0,1.0,Partly Furnished,Built-up,1023.0,Serviced Residence
KLCC,1900000.0,3.0,2.0,1.0,Partly Furnished,Built-up,915.0,Condominium
KLCC,1450000.0,3.0,2.0,2.0,Fully Furnished,Built-up,1090.0,Serviced Residence
KLCC,1000000.0,3.0,1.0,0.0,Fully Furnished,Built-up,657.0,Condominium
KLCC,1300000.0,3.0,1.0,1.0,Partly Furnished,Built-up,925.0,Serviced Residence
KLCC,3600000.0,3.0,4.0,2.0,Partly Furnished,Built-up,3897.0,Serviced Residence
Taman Tun Dr Ismail,1630000.0,3.0,3.0,2.0,Partly Furnished,Land area,0.0,Terrace/Link House
Damansara Heights,2100000.0,3.0,3.0,3.0,Unfurnished,Land area,0.0,Terrace/Link House
Taman Tun Dr Ismail,5350000.0,3.0,5.0,3.0,Partly Furnished,Land area,7200.0,Bungalow
Bukit Jalil,1050000.0,2.0,4.0,4.0,Partly Furnished,Built-up,1772.0,Condominium
Bukit Jalil,1200000.0,3.0,4.0,4.0,Partly Furnished,Built-up,1930.0,Condominium
Bukit Jalil,900000.0,2.0,3.0,2.0,Partly Furnished,Built-up,1513.0,Condominium
Damansara Heights,2251800.0,2.0,4.0,2.0,Partly Furnished,Built-up,1668.0,Serviced Residence
Bukit Jalil,998000.0,3.0,5.0,4.0,Partly Furnished,Land area,1650.0,Terrace/Link House
Mont Kiara,1550000.0,2.0,4.0,2.0,Partly Furnished,Built-up,1496.0,Condominium
Setapak,780000.0,3.0,3.0,2.0,Partly Furnished,Built-up,1368.0,Condominium
Desa ParkCity,1380000.0,3.0,2.0,2.0,Partly Furnished,Built-up,1292.0,Condominium
Desa ParkCity,1798000.0,2.0,3.0,2.0,Partly Furnished,Built-up,2200.0,Terrace/Link House
KLCC,1300000.0,3.0,1.0,1.0,Unfurnished,Built-up,925.0,Serviced Residence
KLCC,1268000.0,3.0,3.0,1.0,Fully Furnished,Built-up,1619.0,Condominium
KLCC,2600000.0,2.0,4.0,3.0,Fully Furnished,Built-up,2809.0,Condominium
KLCC,4200000.0,2.0,4.0,2.0,Partly Furnished,Built-up,2195.0,Serviced Residence
KLCC,3330000.0,2.0,3.0,1.0,Fully Furnished,Built-up,2789.0,Serviced Residence
KLCC,2600000.0,3.0,2.0,1.0,Fully Furnished,Built-up,1184.0,Serviced Residence
KLCC,1950000.0,1.0,2.0,1.0,Partly Furnished,Built-up,1076.0,Serviced Residence
Taman Tun Dr Ismail,1050000.0,3.0,2.0,2.0,Unfurnished,Land area,0.0,Terrace/Link House
Sentul,900000.0,2.0,4.0,3.0,Unfurnished,Built-up,1381.0,Condominium
Kepong,638000.0,2.0,2.0,4.0,Partly Furnished,Land area,0.0,Terrace/Link House
KLCC,1400000.0,3.0,2.0,1.0,Fully Furnished,Built-up,1050.0,Serviced Residence
Kepong,850000.0,3.0,3.0,2.0,Partly Furnished,Land area,0.0,Terrace/Link House
Damansara Heights,6500000.0,3.0,5.0,4.0,Partly Furnished,Land area,7200.0,Bungalow
Mont Kiara,1800000.0,3.0,4.0,2.0,Partly Furnished,Built-up,1830.0,Condominium
