Location,Price,Rooms,Bathrooms,Car Parks,Furnishing,SizeType,SizeValue,Property Type Supergroup
90,1280000.0,3.0,3.0,3.0,1,2,0.0,8
45,1250000.0,3.0,2.0,1.0,1,1,736.0,3
10,630000.0,1.0,1.0,1.0,0,1,650.0,7
45,1350000.0,3.0,2.0,1.0,0,1,1050.0,7
10,490000.0,3.0,1.0,1.0,0,1,500.0,7
10,800000.0,3.0,2.0,1.0,1,1,825.0,7
29,1980000.0,2.0,4.0,0.0,1,1,2200.0,8
31,1035000.0,2.0,5.0,2.0,3,1,1853.0,3
45,1000000.0,3.0,1.0,1.0,0,1,657.0,3
79,448800.0,3.0,3.0,1.0,2,1,1045.0,7
27,4900000.0,3.0,6.0,0.0,0,2,3700.0,6
55,2480000.0,2.0,5.0,3.0,1,1,3041.0,3
44,2716000.0,2.0,4.0,2.0,1,1,2227.0,7
44,1480000.0,2.0,3.0,0.0,0,1,1544.0,3
25,9500000.0,4.0,7.0,6.0,1,2,10000.0,1
45,8343600.0,3.0,3.0,2.0,2,1,2454.0,3
84,500000.0,3.0,2.0,1.0,1,1,715.0,7
27,13800000.0,3.0,7.0,3.0,1,2,7500.0,1
29,3490000.0,3.0,5.0,0.0,1,2,0.0,8
29,2300000.0,3.0,3.0,2.0,1,2,0.0,8
45,3600000.0,3.0,4.0,0.0,1,1,3897.0,7
55,2480000.0,2.0,5.0,3.0,2,1,3041.0,3
45,3500000.0,3.0,3.0,1.0,0,1,1560.0,7
55,2200000.0,3.0,4.0,2.0,2,1,2243.0,3
90,1380000.0,3.0,3.0,2.0,0,2,0.0,8
45,3600000.0,2.0,4.0,2.0,0,1,3897.0,7
29,2500000.0,2.0,6.0,0.0,1,2,0.0,8
16,1060000.0,2.0,4.0,4.0,1,1,1772.0,3
16,900000.0,2.0,3.0,3.0,1,1,1513.0,3
45,1850000.0,3.0,1.0,1.0,1,1,2174.0,3
69,668000.0,2.0,3.0,3.0,0,1,1345.0,3
45,1050000.0,2.0,3.0,2.0,0,1,1313.0,7
37,509000.0,3.0,2.0,1.0,2,1,797.0,7
29,3170000.0,2.0,5.0,0.0,1,1,4306.0,8
29,3400000.0,3.0,6.0,0.0,2,1,5448.0,8
45,2998000.0,2.0,3.0,2.0,1,1,3218.0,3
45,2580000.0,2.0,3.0,2.0,1,1,2809.0,3
29,5600000.0,4.0,9.0,0.0,1,1,7000.0,8
29,1260000.0,2.0,3.0,0.0,1,1,1485.0,3
29,4950000.0,4.0,7.0,0.0,2,2,0.0,8
29,1990000.0,2.0,4.0,0.0,1,1,2500.0,8
47,920000.0,3.0,3.0,0.0,1,2,0.0,8
55,2100000.0,3.0,4.0,0.0,0,1,2441.0,3
45,1100000.0,3.0,2.0,1.0,0,1,880.0,7
45,3600000.0,2.0,3.0,2.0,1,1,3897.0,7
45,2900000.0,2.0,4.0,3.0,0,1,2809.0,3
69,670000.0,3.0,2.0,2.0,1,1,1085.0,3
29,1370000.0,2.0,3.0,0.0,1,1,1572.0,3
29,3480000.0,2.0,5.0,0.0,1,2,3450.0,8
29,1350000.0,3.0,2.0,2.0,1,1,1292.0,3
45,2300000.0,3.0,2.0,1.0,1,1,1023.0,7
45,1900000.0,3.0,2.0,1.0,1,1,915.0,3
45,1450000.0,3.0,2.0,2.0,0,1,1090.0,7
45,1000000.0,3.0,1.0,0.0,0,1,657.0,3
45,1300000.0,3.0,1.0,1.0,1,1,925.0,7
45,3600000.0,3.0,4.0,2.0,1,1,3897.0,7
90,1630000.0,3.0,3.0,2.0,1,2,0.0,8
27,2100000.0,3.0,3.0,3.0,2,2,0.0,8
90,5350000.0,3.0,5.0,3.0,1,2,7200.0,1
16,1050000.0,2.0,4.0,4.0,1,1,1772.0,3
16,1200000.0,3.0,4.0,4.0,1,1,1930.0,3
16,900000.0,2.0,3.0,2.0,1,1,1513.0,3
27,2251800.0,2.0,4.0,2.0,1,1,1668.0,7
16,998000.0,3.0,5.0,4.0,1,2,1650.0,8
55,1550000.0,2.0,4.0,2.0,1,1,1496.0,3
72,780000.0,3.0,3.0,2.0,1,1,1368.0,3
29,1380000.0,3.0,2.0,2.0,1,1,1292.0,3
29,1798000.0,2.0,3.0,2.0,1,1,2200.0,8
45,1300000.0,3.0,1.0,1.0,2,1,925.0,7
45,1268000.0,3.0,3.0,1.0,0,1,1619.0,3
45,2600000.0,2.0,4.0,3.0,0,1,2809.0,3
45,4200000.0,2.0,4.0,2.0,1,1,2195.0,7
45,3330000.0,2.0,3.0,1.0,0,1,2789.0,7
45,2600000.0,3.0,2.0,1.0,0,1,1184.0,7
45,1950000.0,1.0,2.0,1.0,1,1,1076.0,7
90,1050000.0,3.0,2.0,2.0,2,2,0.0,8
69,900000.0,2.0,4.0,3.0,2,1,1381.0,3
47,638000.0,2.0,2.0,4.0,1,2,0.0,8
45,1400000.0,3.0,2.0,1.0,0,1,1050.0,7
47,850000.0,3.0,3.0,2.0,1,2,0.0,8
27,6500000.0,3.0,5.0,4.0,1,2,7200.0,1
55,1800000.0,3.0,4.0,2.0,1,1,1830.0,3
9,3800000.0,2.0,5.0,4.0,1,1,4067.0,1
10,350000.0,3.0,1.0,1.0,2,1,495.0,0
45,3600000.0,2.0,5.0,2.0,3,1,3897.0,7
90,1790000.0,3.0,3.0,0.0,1,2,0.0,8
68,635000.0,2.0,4.0,2.0,1,1,1643.0,3
84,530000.0,3.0,2.0,0.0,2,1,715.0,7
45,5070000.0,2.0,4.0,3.0,1,1,2142.0,7
42,1207000.0,3.0,1.0,1.0,1,1,685.0,7
42,1177000.0,3.0,1.0,1.0,1,1,717.0,7
90,3000000.0,3.0,2.0,0.0,1,2,0.0,8
98,700000.0,3.0,2.0,2.0,1,1,1152.0,3
3,3710000.0,2.0,5.0,0.0,1,1,3369.0,3
55,1900000.0,2.0,4.0,0.0,0,1,2411.0,3
55,3785400.0,3.0,5.0,3.0,1,1,3907.0,3
45,1300000.0,3.0,2.0,2.0,0,1,871.0,3
69,960000.0,2.0,4.0,2.0,2,1,1488.0,3
42,490000.0,3.0,2.0,2.0,2,1,1065.0,3
55,4200000.0,3.0,5.0,3.0,1,1,3709.0,3
45,1450000.0,3.0,1.0,1.0,0,1,1050.0,7
29,2380000.0,2.0,4.0,3.0,0,1,2454.0,3
29,1350000.0,2.0,3.0,2.0,2,1,1389.0,3
45,1800000.0,2.0,5.0,0.0,2,1,2315.0,3
16,1210000.0,3.0,6.0,4.0,1,1,3400.0,8
90,4995000.0,3.0,7.0,6.0,1,2,8113.0,1
55,1900000.0,2.0,4.0,2.0,1,1,1830.0,3
45,2700000.0,3.0,2.0,2.0,1,1,1195.0,7
45,6300000.0,2.0,4.0,2.0,1,1,2195.0,7
45,1900000.0,2.0,2.0,1.0,0,1,915.0,3
45,3000000.0,2.0,5.0,3.0,1,1,3218.0,3
72,240000.0,3.0,2.0,1.0,2,1,850.0,3
45,1300000.0,3.0,2.0,0.0,0,1,871.0,3
45,1000000.0,3.0,1.0,1.0,1,1,751.0,3
45,1000000.0,3.0,1.0,1.0,1,1,751.0,3
45,2000000.0,2.0,2.0,1.0,0,1,1350.0,7
45,6380000.0,2.0,4.0,2.0,1,1,2195.0,7
55,2480000.0,2.0,6.0,0.0,1,1,2702.0,3
11,676775.0,2.0,3.0,4.0,1,1,1265.0,7
55,2280000.0,2.0,5.0,0.0,1,1,2702.0,3
55,1830000.0,2.0,4.0,2.0,1,1,1830.0,3
24,1750000.0,2.0,3.0,1.0,1,1,1442.0,7
29,1780000.0,2.0,3.0,2.0,0,1,2400.0,8
47,3380000.0,3.0,4.0,0.0,1,2,4050.0,6
16,1200000.0,3.0,4.0,4.0,1,1,1930.0,3
45,2300000.0,3.0,2.0,1.0,1,1,1046.0,7
45,2300000.0,3.0,1.0,2.0,1,1,1046.0,7
55,1600000.0,2.0,3.0,2.0,1,1,1878.0,3
55,1291000.0,3.0,4.0,3.0,1,1,2069.0,3
45,880000.0,3.0,1.0,1.0,0,1,710.0,7
37,655000.0,2.0,2.0,2.0,1,1,1094.0,7
55,2150000.0,2.0,5.0,3.0,2,1,2700.0,3
55,1400000.0,2.0,4.0,2.0,1,1,1496.0,3
45,7975250.0,2.0,6.0,2.0,0,1,2975.0,7
55,1100000.0,3.0,2.0,2.0,1,1,1200.0,3
45,1238000.0,3.0,2.0,1.0,1,1,736.0,3
10,750000.0,3.0,2.0,1.0,1,1,823.0,7
27,2100000.0,2.0,4.0,2.0,1,1,2153.0,3
16,900000.0,2.0,4.0,0.0,2,1,1513.0,3
55,1500000.0,3.0,2.0,2.0,0,1,1200.0,3
55,2300000.0,2.0,6.0,3.0,1,1,2702.0,3
45,1000000.0,2.0,2.0,0.0,1,1,777.0,7
45,990000.0,2.0,3.0,2.0,0,1,1313.0,7
45,3960000.0,2.0,4.0,2.0,1,1,2195.0,7
45,2700000.0,3.0,2.0,2.0,0,1,1184.0,7
45,1900000.0,1.0,2.0,1.0,0,1,1087.0,7
29,5460000.0,4.0,9.0,6.0,1,1,7000.0,8
45,2050000.0,2.0,5.0,2.0,0,1,2356.0,3
10,1121800.0,2.0,2.0,1.0,0,1,1200.0,7
45,1506300.0,3.0,1.0,1.0,0,1,1020.0,7
9,1530000.0,2.0,3.0,2.0,0,1,2095.0,3
2,3680000.0,3.0,8.0,4.0,2,2,6300.0,1
45,3600000.0,2.0,5.0,2.0,1,1,3897.0,7
55,2300000.0,2.0,5.0,0.0,1,1,2906.0,3
77,14800000.0,3.0,6.0,4.0,0,2,8611.0,1
29,1480000.0,2.0,4.0,2.0,1,1,1917.0,3
10,1050000.0,3.0,2.0,2.0,0,1,1485.0,3
49,1200019.0,3.0,2.0,1.0,1,1,577.0,3
23,780000.0,2.0,4.0,0.0,2,2,5320.0,1
17,4988888.0,2.0,6.0,3.0,1,2,0.0,8
45,1999000.0,3.0,2.0,1.0,2,1,1271.0,7
55,1820000.0,2.0,4.0,2.0,1,1,1830.0,3
3,3700000.0,2.0,5.0,2.0,2,1,3628.0,3
55,1420000.0,2.0,4.0,2.0,1,1,1499.0,3
55,1830000.0,2.0,4.0,2.0,1,1,1832.0,3
17,4988888.0,3.0,6.0,3.0,1,2,0.0,8
45,1680000.0,2.0,2.0,3.0,0,1,1159.0,3
45,2210000.0,3.0,3.0,2.0,0,1,1502.0,3
45,1420000.0,3.0,2.0,1.0,0,1,976.0,3
